city,country,latitude,longitude,population,description
Tokyo,Japan,35.6762,139.6503,13960000,Capital of Japan
New York,USA,40.7128,-74.0060,8336817,Largest city in USA
London,UK,51.5074,-0.1278,9002488,Capital of UK
Paris,France,48.8566,2.3522,2165423,Capital of France
Sydney,Australia,-33.8688,151.2093,5312163,Largest city in Australia
Dubai,UAE,25.2048,55.2708,3331420,Largest city in UAE
Singapore,Singapore,1.3521,103.8198,5685807,City-state in Southeast Asia
Mumbai,India,19.0760,72.8777,20411000,Financial capital of India
Ṣo Paulo,Brazil,-23.5505,-46.6333,12325232,Largest city in Brazil
Cairo,Egypt,30.0444,31.2357,20900604,Capital of Egypt
Toronto,Canada,43.6532,-79.3832,2930000,Largest city in Canada
Mexico City,Mexico,19.4326,-99.1332,9209944,Capital of Mexico
Moscow,Russia,55.7558,37.6173,12506468,Capital of Russia
Istanbul,Turkey,41.0082,28.9784,15462452,Largest city in Turkey
Los Angeles,USA,34.0522,-118.2437,3979576,Second largest city in USA